Wall time,Step,Value
1702402135.5242603,73350,28.20347023010254
1702402144.2343392,73900,31.297012329101562
1702402151.0592883,74300,30.096603393554688
1702402155.9657886,74600,30.015918731689453
1702402182.310157,76200,29.865358352661133
1702402185.5446312,76400,29.866212844848633
1702402206.814233,77650,29.272932052612305
1702402220.7363038,78450,28.791240692138672
1702402221.6268027,78500,28.706764221191406
1702402234.8714762,79250,27.89638900756836
1702402238.258776,79450,27.62373924255371
1702402252.5934834,80300,27.430871963500977
1702402281.4985113,82050,27.189847946166992
1702402288.1484363,82450,27.6774845123291
1702402304.7221007,83450,29.270526885986328
1702402316.364061,84150,28.248111724853516
1702402324.0670938,84600,26.80571174621582
1702402329.251251,84900,27.517831802368164
1702402331.1237519,85000,27.687074661254883
1702402333.7382483,85150,29.758529663085938
1702402339.685518,85500,29.612855911254883
1702402347.470648,85950,29.815095901489258
1702402359.662485,86650,27.53083038330078
1702402361.267525,86750,27.5411434173584
1702402363.732941,86900,28.641300201416016
1702402370.529599,87300,36.200809478759766
1702402371.3866327,87350,36.62002944946289
1702402395.53175,88800,35.80876922607422
1702402400.4792237,89100,35.438053131103516
1702402420.2609484,90300,36.59037399291992
1702402437.3440993,91350,37.91961669921875
1702402448.9334533,92050,31.79351234436035
1702402452.2331798,92250,34.05516052246094
1702402459.7753332,92700,30.459224700927734
1702402470.9180253,93350,35.374366760253906
1702402473.3166218,93500,36.42525863647461
1702402479.9514954,93900,37.35245895385742
1702402512.655217,95900,38.46372604370117
1702402526.7161474,96750,37.94205856323242
1702402535.0688515,97250,35.81368637084961
1702402537.39549,97400,35.55970764160156
1702402554.2369714,98400,37.63814926147461
1702402566.4971948,99100,37.91389083862305
1702402568.427489,99200,37.792808532714844
1702402585.8987646,100100,37.69435501098633
1702402590.032642,100300,37.67935562133789
1702402597.5185623,100700,37.65329360961914
1702402613.8291245,101550,36.9441032409668
1702402619.6502998,101850,33.47126388549805
1702402642.312695,103050,37.596229553222656
1702402653.2240226,103700,25.730693817138672
1702402655.6093416,103850,26.551435470581055
1702402656.4596705,103900,26.999343872070312
1702402662.985795,104300,37.82640075683594
1702402666.2157562,104500,37.11073684692383
1702402671.9445724,104850,36.27103042602539
1702402684.3128173,105600,31.062015533447266
1702402714.1692362,107300,37.98160171508789
1702402717.715798,107500,37.85144805908203
1702402723.5825574,107850,37.69549560546875
1702402731.1372275,108300,38.24596405029297
1702402749.5954819,109400,37.174163818359375
1702402752.9908538,109600,37.2843132019043
1702402759.8938057,110000,37.569915771484375
1702402766.4233248,110400,38.147090911865234
1702402769.6031194,110600,38.28754806518555
1702402785.409872,111600,38.22673416137695
1702402789.4897726,111850,38.24342727661133
1702402790.2721763,111900,38.29082489013672
